Threshold,MCC,E-value source,Test set
1E-01,0.9293881103208996,full-seq,set1
1E-02,0.9615480590195763,full-seq,set1
1E-03,0.981492348609784,full-seq,set1
1E-04,0.9919409802668115,full-seq,set1
1E-05,0.9945468941909782,full-seq,set1
1E-06,0.9945468941909782,full-seq,set1
1E-07,0.9918091268506494,full-seq,set1
1E-08,0.9918091268506494,full-seq,set1
1E-09,0.9918091268506494,full-seq,set1
1E-01,0.9427711685398867,single-dom,set1
1E-02,0.9738688200488973,single-dom,set1
1E-03,0.981492348609784,single-dom,set1
1E-04,0.9891234487616367,single-dom,set1
1E-05,0.9945468941909782,single-dom,set1
1E-06,0.9918091268506494,single-dom,set1
1E-07,0.9918091268506494,single-dom,set1
1E-08,0.9918091268506494,single-dom,set1
1E-09,0.9918091268506494,single-dom,set1
1E-01,0.9293881103208996,full-seq,set2
1E-02,0.9615480590195763,full-seq,set2
1E-03,0.981492348609784,full-seq,set2
1E-04,0.9919409802668115,full-seq,set2
1E-05,0.9945468941909782,full-seq,set2
1E-06,0.9945468941909782,full-seq,set2
1E-07,0.9918091268506494,full-seq,set2
1E-08,0.9918091268506494,full-seq,set2
1E-09,0.9918091268506494,full-seq,set2
1E-01,0.9427711685398867,single-dom,set2
1E-02,0.9738688200488973,single-dom,set2
1E-03,0.981492348609784,single-dom,set2
1E-04,0.9891234487616367,single-dom,set2
1E-05,0.9945468941909782,single-dom,set2
1E-06,0.9918091268506494,single-dom,set2
1E-07,0.9918091268506494,single-dom,set2
1E-08,0.9918091268506494,single-dom,set2
1E-09,0.9918091268506494,single-dom,set2
