Threshold,MCC,E-value source,Test set
1E-01,0.9250520434590965,full-seq,set1
1E-02,0.9688839767338853,full-seq,set1
1E-03,0.981492348609784,full-seq,set1
1E-04,0.986546475288972,full-seq,set1
1E-05,0.9918240602441114,full-seq,set1
1E-06,0.9945468941909782,full-seq,set1
1E-07,0.9918091268506494,full-seq,set1
1E-08,0.9918091268506494,full-seq,set1
1E-09,0.9918091268506494,full-seq,set1
1E-01,0.9450583284345254,single-dom,set1
1E-02,0.9763902419277798,single-dom,set1
1E-03,0.9787217769634955,single-dom,set1
1E-04,0.9864447590453427,single-dom,set1
1E-05,0.9945468941909782,single-dom,set1
1E-06,0.9918091268506494,single-dom,set1
1E-07,0.9918091268506494,single-dom,set1
1E-08,0.9918091268506494,single-dom,set1
1E-09,0.9918091268506494,single-dom,set1
1E-01,0.9272124805181308,full-seq,set2
1E-02,0.9736074852482957,full-seq,set2
1E-03,0.986546475288972,full-seq,set2
1E-04,0.9864447590453427,full-seq,set2
1E-05,0.9918240602441114,full-seq,set2
1E-06,0.9945468941909782,full-seq,set2
1E-07,0.9918091268506494,full-seq,set2
1E-08,0.9918091268506494,full-seq,set2
1E-09,0.9918091268506494,full-seq,set2
1E-01,0.9496829856031821,single-dom,set2
1E-02,0.9787217769634955,single-dom,set2
1E-03,0.9837876960628597,single-dom,set2
1E-04,0.9891234487616367,single-dom,set2
1E-05,0.9918240602441114,single-dom,set2
1E-06,0.9918091268506494,single-dom,set2
1E-07,0.9918091268506494,single-dom,set2
1E-08,0.9918091268506494,single-dom,set2
1E-09,0.9918091268506494,single-dom,set2
